,Word,Levenshtein,Soundex,Metaphone
119,mbf,muff,muff,NA
120,bc,be,bag,bag
121,amore,more,NA,NA
122,hai,hail,ha,ha
123,vinto,vino,NA,NA
124,tu,tau,tau,tau
125,dan,dan,dan,dan
126,kcu,kudu,key,keg
127,whiteboy,whitely,NA,NA
128,dj,do,dig,NA
129,homie,home,home,home
130,cosplaying,splaying,NA,NA
131,comicon,comic,NA,NA
132,dont,dont,dont,dont
133,pulin,puling,plain,plain
134,jimin,join,NA,NA
135,angpaos,NA,NA,NA
136,jungkok,bangkok,NA,NA
137,aunty,jaunty,aunt,aunt
138,angpao,NA,NA,NA
139,alpukat,NA,NA,NA
140,madu,mad,mad,mad
141,manis,manias,manias,manias
142,banget,banged,banged,banged
143,mq,me,ms,mac
144,pls,pals,pals,pals
145,doto,do,dot,dot
146,centrevile,NA,NA,NA
147,chipotle,NA,NA,NA
148,yal,yale,yale,yale
149,wasnt,wasn't,wasn't,wasn't
150,lil,lilt,lily,lily
151,fuckn,fun,NA,NA
152,bjp,bap,NA,NA
153,shourie,shore,shore,shore
154,ji,fiji,NA,NA
155,gurl,girl,girl,curl
156,rehersal,rehearsal,rehearsal,rehearsal
157,takin,taking,taken,taken
158,textin,textile,testing,NA
159,balerino,ballerina,ballerina,ballerina
160,pokemon,pikemen,pikemen,pikemen
161,dafuq,daft,NA,NA
162,smh,smash,sam,sam
163,dola,dole,dole,dole
164,nigah,nigh,nigh,NA
165,elction,election,election,election
166,spirite,spirited,spirited,spirit
167,lmao,loo,limo,limo
168,titys,tits,tits,tits
169,kraby,aby,NA,crabby
170,theyre,they're,they're,they're
171,bfs,beefs,bus,beefs
172,showin,showing,shown,NA
173,pda,pa,NA,NA
174,cuz,cub,cog,NA
175,chaning,chaining,chaining,chaining
176,tatum,datum,NA,datum
177,jonah,jonah,jonah,jonah
178,marwan,martian,maroon,NA
179,asmar,mar,NA,NA
180,labour,labour,labour,labour
181,dawg,dawn,dace,dagga
182,nedto,nato,nato,NA
183,wat,watt,watt,watt
184,ko,do,NA,go
185,kna,kina,kina,NA
186,blik,blink,black,black
187,jga,aga,NA,NA
188,poning,phoning,phoning,pining
189,hahahaha,NA,NA,NA
190,chukae,chute,choke,choke
191,hw,hew,hew,hew
192,na,nab,nay,nay
193,po,pod,pa,pa
194,enda,agenda,end,end
195,ching,aching,chink,chink
196,louis,louis,louis,louis
197,liam,lam,lam,lam
198,tmrw,tow,NA,NA
199,ah,ah,ah,ah
200,kena,kenya,kenya,ken
201,kalau,kale,kale,kale
202,hisap,hip,hasp,hasp
203,aca,accra,ace,aga
204,ayudando,NA,NA,NA
205,moma,mom,mom,mom
206,aint,aint,aint,aint
207,prateik,protein,NA,NA
208,babar,babas,NA,NA
209,bengali,bengal,bengal,bengal
210,posible,possible,possible,possible
211,lebron,lebanon,NA,NA
212,many,many,many,many
213,pacquiao,NA,NA,NA
214,af,aft,abe,NA
215,dwp,dip,dip,dip
216,zed,bed,NA,NA
217,dresin,resin,dressing,NA
218,harystyles,hairstyles,hairstyles,hairstyles
219,ima,imma,imma,imma
220,fam,fame,fame,fame
221,desain,detain,NA,NA
222,kamar,mar,NA,NA
223,anak,ana,amok,NA
224,ceria,curia,curia,NA
225,bae,babe,be,be
226,throwg,throw,throws,NA
227,privilg,privilege,privilege,NA
228,pls,pals,pals,pals
229,shld,shed,sold,child
230,loc,loch,loch,lock
231,michael,NA,NA,NA
232,jordan,jovian,NA,NA
233,fav,fab,fab,NA
234,james,james,james,james
235,jos,jobs,jogs,joys
236,butler,butler,butler,butler
237,senanayake,NA,NA,NA
238,mathews,maths,maths,maths
239,ov,ova,ova,ova
240,twetin,twin,NA,NA
241,favs,fads,NA,NA
242,ur,urn,NA,NA
243,alcon,falcon,align,NA
244,chmp,champ,champ,champ
245,simbrinz,NA,NA,NA
246,rolingstone,NA,NA,NA
247,kanye,kale,knee,NA
248,kim,skim,kin,NA
249,kardashian,NA,NA,NA
250,florence,florence,florence,florence
251,fasta,fast,fast,fast
252,cokerby,cookery,NA,NA
253,sebastian,NA,NA,NA
254,jace,ace,jack,NA
255,simon,simeon,simeon,simeon
256,alec,ale,ales,alack
257,magnus,magnums,magmas,NA
258,percy,perch,perch,NA
259,anabeth,NA,NA,NA
260,nico,nice,nice,nick
261,leo,lea,lea,lea
262,karlie,charlie,NA,NA
263,klos,kloof,kills,kills
264,chanel,channel,channel,channel
265,haute,hate,hate,hate
266,amd,amid,amid,amid
267,eyefinity,NA,NA,NA
268,enduro,endure,endure,endure
269,infopc,info,NA,NA
270,shoutout,shortcut,NA,NA
271,lauren,laurel,NA,NA
272,nancy,nanny,NA,NA
273,fenwick,NA,NA,NA
274,idgaf,idea,NA,NA
275,elie,elide,NA,NA
276,goulding,moulding,gelding,NA
277,tbh,tech,tab,tab
278,budur,bur,bader,bader
279,iste,isle,NA,NA
280,tigerim,tigerish,NA,NA
281,benim,denim,NA,NA
282,kamran,koran,NA,NA
283,geo,gecko,go,NA
284,tv,to,tab,NA
285,apna,apnea,apnea,apnea
286,uma,puma,NA,NA
287,wats,watts,watts,watts
288,marshal,marshal,marshal,marshal
289,toma,stoma,tome,tomb
290,sdtg,sag,stag,NA
291,sa,sac,saw,saw
292,primiere,premiere,premiere,premiere
293,ng,nag,nag,nag
294,selai,serai,sell,sell
295,thankin,thanking,thanking,NA
296,savin,saving,NA,NA
297,kylan,khan,kiln,clan
298,leavin,leaving,leaven,leaven
299,hahaha,haha,haha,NA
300,hahagaha,NA,NA,NA
301,erm,germ,NA,NA
302,lantak,lank,NA,NA
303,talkin,talking,talking,NA
304,rasheda,rasher,rased,rushed
305,erica,erica,erica,erica
306,atl,at,NA,NA
307,rft,raft,raft,raft
308,rted,rated,rated,rated
309,british,british,british,british
310,yolo,yolk,NA,NA
311,thats,that's,that's,that's
312,warmin,warming,warming,NA
313,fina,final,fin,fin
314,bck,back,back,back
315,itl,itll,itll,itll
316,ves,vest,vies,vies
317,mathata,mahatma,NA,NA
318,ke,keg,key,key
319,linkin,linking,linking,NA
320,manchester,NA,NA,NA
321,photoset,photos,photostat,NA
322,thewickedivy,NA,NA,NA
323,tw,tow,tow,tow
324,analyne,analyse,NA,NA
325,mcord,cord,NA,NA
326,catz,cat,cats,cats
327,pc,pa,NA,NA
328,omygosh,NA,NA,NA
329,kori,tori,korea,korea
330,mokie,movie,moose,make
331,tats,tarts,teats,teats
332,getin,gelatin,NA,NA
333,gazeta,gazette,gazette,gazette
334,silva,silica,saliva,saliva
335,ibra,bra,NA,NA
336,psg,peg,peg,NA
337,heartatack,NA,NA,NA
338,havent,havent,havent,havent
339,hahah,haha,haha,haha
340,anit,ant,ant,ant
341,glock,lock,NA,clock
342,shouldnt,shouldn't,shouldn't,shouldn't
343,dumbas,rumbas,dumps,NA
344,pl,pal,pal,pal
345,evrys,eves,NA,NA
346,bam,balm,beam,beam
347,moz,mob,moas,moas
348,bgt,bat,NA,NA
349,maty,malty,meaty,meaty
350,maomao,mama,mama,mama
351,gud,gaud,gaud,gaud
352,auditorio,auditor,auditor,auditor
353,civico,civic,civic,civic
354,del,dell,dell,dell
355,estado,escudo,estate,estate
356,europe,europe,europe,europe
357,european,european,european,european
358,jajaja,pajama,NA,NA
359,enorme,enzyme,NA,NA
360,mirotic,erotic,NA,NA
361,perie,peri,peri,peri
362,so,so,so,so
363,siked,spiked,sized,NA
364,mesin,meson,meson,meson
365,wifey,wifely,wife,wife
366,ef,elf,ebb,NA
367,usm,us,NA,NA
368,xolo,polo,NA,solo
369,lfc,lab,NA,NA
370,tomorowland,NA,NA,NA
371,aleso,ales,ales,ales
372,layin,laying,lain,NA
373,goin,going,gin,gain
374,rn,ran,ran,ran
375,sgt,sat,sat,NA
376,rigby,rugby,rugby,rugby
377,dugsbaws,NA,NA,NA
378,gonae,gone,gone,gone
379,joby,job,job,job
380,cowdenbeath,NA,NA,NA
381,tami,tame,tame,tame
382,folowback,NA,NA,NA
383,vesely,verily,vessel,vessel
384,dati,data,data,data
385,ngayon,rayon,NA,NA
386,lowkey,lowkey,lowkey,lowkey
387,somtime,sometime,sometime,sometime
388,cj,cab,caw,NA
389,watson,wagon,NA,NA
390,openfolow,NA,NA,NA
391,kpopers,keepers,NA,NA
392,juseyo,NA,NA,NA
393,teta,tetra,theta,NA
394,beso,besot,beg,bees
395,rosita,rota,resit,resit
396,idc,id,ids,NA
397,buie,budgie,bowie,be
398,sofaking,soaking,NA,NA
399,yes,yes,yes,yes
400,lmfao,NA,NA,NA
401,kerangs,orangs,NA,NA
402,rockstars,NA,NA,NA
403,kerang,kerning,keyring,keyring
404,aw,awe,awe,ah
405,zayda,panda,NA,NA
406,tabaruis,NA,NA,NA
407,kno,knob,know,know
408,thx,tax,tax,NA
409,banterous,cancerous,NA,NA
410,arent,arent,arent,arent
411,ilysm,ileum,NA,NA
412,chilin,chili,chilean,chilean
413,naw,gnaw,nay,gnaw
414,si,sic,ski,so
415,watz,waltz,wads,wads
416,chav,chad,chap,NA
417,vid,vied,vied,vied
418,suho,sumo,so,NA
419,cr,car,car,car
420,bluemarine,NA,NA,NA
421,youtube,couture,NA,NA
422,nya,nyala,ne,NA
423,cute,cute,cute,cute
424,hehehe,NA,NA,NA
425,hatin,hating,haitian,NA
426,couldnt,could'nt,could'nt,could'nt
427,daniele,daniel,daniel,daniel
428,veileux,veiled,NA,NA
429,ryan,ran,ran,NA
430,holand,holland,holland,holland
431,nyt,net,net,net
432,moto,motto,motto,motto
433,emosh,gosh,ems,NA
434,pyar,par,par,NA
435,fuc,fug,fug,fug
436,dat,daft,data,data
437,slacin,slain,slacken,NA
438,kurang,rang,NA,curing
439,kakak,kayak,NA,NA
440,tomorow,tomorrow,tomorrow,tomorrow
441,lagi,lag,lag,NA
442,serius,serious,serious,serious
443,henesy,heresy,hens,hens
444,tht,that,the,that
445,frnd,frond,frond,frond
446,colcted,coacted,NA,NA
447,tryin,trying,train,NA
448,wnts,wants,wants,NA
449,plamy,play,plumy,plumy
450,hehe,he,he,haha
451,aguacate,NA,NA,NA
452,watchin,watching,watching,NA
453,whey,whey,whey,whey
454,heysel,heel,NA,NA
455,dey,defy,dewy,dewy
456,asum,sum,NA,NA
457,dub,dub,dub,dub
458,chica,chic,chic,chic
459,mpc,mac,NA,NA
460,mclaren,claret,NA,NA
461,spyder,spider,spider,spider
462,madrid,madrid,madrid,madrid
463,ucl,up,ugly,ugly
464,atletico,athletic,athletic,NA
465,cristiano,christian,christian,NA
466,ronaldo,NA,NA,NA
467,boko,boo,bog,bog
468,haram,ham,harm,harm
469,borno,borneo,borneo,borneo
470,gistrel,kestrel,NA,NA
471,pho,ho,NA,NA
472,elwacho,NA,NA,NA
473,trel,travel,trail,trail
474,boi,boil,boa,boa
475,chinx,chin,chink,NA
476,drugz,drug,drug,drugs
477,camo,cameo,cameo,cameo
478,headbandby,headband,headband,NA
479,fabulicious,NA,NA,NA
480,headb,head,NA,NA
481,gmorning,morning,NA,NA
482,sayang,sang,sang,saying
483,theyve,they've,they've,they've
484,yingluck,NA,NA,NA
485,unkown,unknown,unknown,NA
486,asus,ass,aces,aces
487,xclsxh,NA,NA,NA
488,idk,id,ids,NA
489,tryna,try,NA,NA
490,fosho,folio,fossa,NA
491,mutuals,mutual,metals,metals
492,yesh,yes,yes,NA
493,youre,you're,you're,you're
494,mixtape,mixture,mistype,NA
495,amb,jamb,amp,am
496,sas,sacs,sacs,saws
497,favourite,favourite,favourite,favourite
498,interfax,interface,interface,NA
499,ukraine,ukraine,ukraine,ukraine
500,osce,once,NA,NA
501,ap,alp,ape,ape
502,playofsbt,NA,NA,NA
503,plz,ply,plug,plus
504,thr,tahr,tahr,thor
505,rp,rap,rap,rap
506,minuman,milkman,NA,NA
507,botol,boil,bottle,bottle
508,yg,ye,NA,NA
509,tgh,thigh,thigh,tough
510,itu,it,it,it
511,virgil,virgil,virgil,virgil
512,badas,babas,NA,NA
513,walingford,NA,NA,NA
514,vt,vat,vat,vat
515,directon,direction,direction,NA
516,ne,ne,ne,ne
517,june,june,june,june
518,ramdan,radian,NA,NA
519,ima,imma,imma,imma
520,dawg,dawn,dace,dagga
521,emak,email,ems,NA
522,mblow,blow,NA,NA
523,bmi,bali,ban,bum
524,di,did,die,die
525,interp,inter,inter,NA
526,nig,nigh,nigh,nag
527,sheran,teheran,shorn,shorn
528,tana,tan,tan,tan
529,proly,proudly,prowl,prowl
530,fanclub,NA,NA,NA
531,wmf,waif,wimp,NA
532,corvo,coo,carve,NA
533,sponby,spongy,NA,NA
534,aktiengese,NA,NA,NA
535,hong,thong,hang,hang
536,jong,jog,NA,NA
537,hyun,hymn,hymn,hyena
538,yura,aura,NA,NA
539,nk,ink,NA,NA
540,jual,dual,NA,NA
541,product,product,product,product
542,agak,aga,NA,NA
543,dr,dr,dr,dr
544,beli,belie,belie,belie
545,godbles,gobbles,NA,NA
546,nle,nile,nile,nile
547,monkes,monkeys,monkeys,monkeys
548,grensburgs,NA,NA,NA
549,theatre,theatre,theatre,theatre
550,mola,molar,mole,mole
551,visto,vista,vista,vista
552,conversaciones,conversations,conversations,NA
553,de,dee,dee,dee
554,whatsap,NA,NA,NA
555,esta,est,est,est
556,yebi,yeti,yep,NA
557,stp,step,step,step
558,ah,ah,ah,ah
559,jst,jest,jet,jest
560,webside,website,website,website
561,stge,stage,stage,stage
562,tf,to,NA,NA
563,bestfriend,befriend,NA,NA
564,stupidanoying,NA,NA,NA
565,irl,girl,NA,NA
566,youl,you,yowl,yowl
567,ew,ewe,ewe,eh
568,busan,busman,began,basin
569,sho,shoo,shoo,shoo
570,nuf,nu,nab,NA
571,ac,ace,ace,NA
572,urself,yourself,NA,NA
573,modi,mod,mod,mod
574,ibnlive,NA,NA,NA
575,ibnlivechinese,NA,NA,NA
576,rapgenius,NA,NA,NA
577,cofounder,founder,NA,NA
578,eliot,elicit,elide,elide
579,rodger,dodger,NA,NA
580,isla,islam,isle,isle
581,stadionie,NA,NA,NA
582,leicester,NA,NA,NA
583,doin,doing,din,din
584,ausie,aussie,aussie,aussie
585,fuks,furs,fuss,NA
586,da,dab,day,day
587,kid,kid,kid,kid
588,fuk,funk,fug,fug
589,fg,fag,fag,fag
590,counseling,counselling,counselling,counselling
591,centre,centre,centre,centre
592,kvm,am,NA,NA
593,centos,cents,cents,cents
594,linux,lux,link,links
595,ema,edema,em,em
596,ily,idly,ill,ill
597,newsfed,nested,NA,NA
598,bahahaha,NA,NA,NA
599,homies,homiest,homes,homes
600,wideouts,hideouts,NA,NA
601,rosberg,robber,NA,NA
602,mercedes,mercies,NA,NA
603,lewis,lees,lees,NA
604,hamilton,NA,NA,NA
605,daniel,daniel,daniel,daniel
606,riciardo,NA,NA,NA
607,belieber,believer,believer,NA
608,avalana,NA,NA,NA
609,abang,bang,aping,NA
610,fadil,fail,NA,NA
611,t,to,to,to
612,toty,toasty,tot,tot
613,out,out,out,out
614,ok,ok,ok,ok
615,cole,cole,cole,cole
616,han,hand,ham,hen
617,maya,maya,maya,maya
618,angelou,angel,angel,angel
619,vimeo,video,NA,NA
620,fw,few,few,few
621,joga,jog,jog,jog
622,adc,add,NA,NA
623,isnt,isnt,isnt,isnt
624,vw,vow,vow,vow
625,chicago,chicago,chicago,chicago
626,hmu,mu,hmm,hmm
627,stainin,stain,staining,NA
628,subtweted,NA,NA,NA
629,lolz,loll,NA,NA
630,taniah,pariah,NA,NA
631,abg,abe,NA,NA
632,jep,jeep,jeep,jeep
633,sepahtu,NA,NA,NA
634,iovine,iodine,NA,NA
635,interscope,NA,NA,NA
636,janick,jack,NA,NA
637,hayne,hay,hone,hone
638,qld,old,NA,cold
639,jaryd,jarred,jarred,jarred
640,imbo,bimbo,NA,NA
641,bitvhes,bitches,NA,NA
642,bitvh,bitch,NA,NA
643,smtown,sown,NA,NA
644,hala,ala,hale,hale
645,nada,canada,nato,nato
646,ce,cue,cue,NA
647,avec,ave,apes,NA
648,tmh,tech,tan,tame
649,et,eat,eat,eat
650,ac,ace,ace,NA
651,wth,with,with,NA
652,hahahaha,NA,NA,NA
653,hahahaha,NA,NA,NA
654,ila,ilk,ill,ill
655,potatohead,NA,NA,NA
656,donghae,donga,donga,NA
657,siwon,simeon,sin,swoon
658,k,ok,key,key
659,kagepro,NA,NA,NA
660,bafana,banana,NA,NA
661,australia,australian,australian,austral
662,juz,jug,jug,jazz
663,lyk,lye,lack,lack
664,mongodb,mongol,NA,NA
665,taemin,tannin,tannin,daemon
666,hyungs,hangs,hangs,NA
667,nike,nice,nice,nuke
668,oh,oh,oh,oh
669,survivor,survivor,survivor,survivor
670,harder,harder,harder,harder
671,finah,final,fin,fin
672,dinah,dinar,din,din
673,hq,ha,NA,NA
674,baekhyun,NA,NA,NA
675,flatshoes,flashes,NA,NA
676,bali,bali,bali,bali
677,cek,cheek,cheek,seek
678,bfb,bib,be,NA
679,so,so,so,so
680,gne,gene,gene,ne
681,nite,unite,nit,nit
682,smiler,smiler,smiler,smiler
683,brendas,agendas,brands,brands
684,caxias,canvas,NA,NA
685,sul,soul,soul,soul
686,unfolowed,unfolded,unfolded,unflawed
687,tumblr,tumbler,tumbler,tumbler
688,fal,fall,fall,fall
689,wala,ala,wall,wall
690,tota,total,tot,tot
691,whopin,chopin,NA,NA
692,hc,hic,hic,hic
693,oh,oh,oh,oh
694,aur,aura,aura,aura
695,taryn,tarn,tarn,tarn
696,sry,spry,NA,NA
697,luis,louis,louis,louis
698,avril,april,april,NA
699,lavigne,lasagne,NA,NA
700,majlis,majors,NA,NA
701,mohamed,shamed,moaned,NA
702,nashed,gnashed,NA,gnashed
703,hahahah,NA,NA,NA
704,fredo,redo,NA,NA
705,thot,tot,tot,that
706,bardo,bard,bard,bard
707,kamu,mu,NA,NA
708,cewek,cheek,cheek,NA
709,sini,sinai,sinai,sinai
710,hugh,hug,hug,huh
711,loh,loch,loo,loo
712,everyones,everyone's,everyone's,everyone's
713,vix,vex,vex,vex
714,mc,mac,mac,mac
715,pheobe,probe,NA,NA
716,senpai,serai,NA,NA
717,couldve,could've,could've,could've
718,betetr,betel,NA,NA
719,uefa,urea,ufo,ufo
720,paris,paris,paris,paris
721,stgerman,german,NA,NA
722,foun,found,fun,fun
723,elin,elfin,elan,elan
724,danielson,dandelion,NA,NA
725,gambogi,gambol,NA,NA
726,tetnus,tetanus,tetanus,tetanus
727,kentucky,kentucky,kentucky,kentucky
728,mitch,itch,match,match
729,mconels,models,NA,NA
730,obamacare,NA,NA,NA
731,durk,dark,dark,dark
732,otf,of,NA,NA
733,nunu,nu,nun,nun
734,oc,doc,ok,ok
735,tbt,tat,NA,debt
736,hasina,havana,NA,NA
737,laylow,aglow,NA,NA
738,drinkin,drinking,drinking,NA
739,heny,henry,hen,hen
740,ankit,anklet,angst,NA
741,tolyimages,NA,NA,NA
742,amritha,NA,NA,NA
743,rao,rad,raw,raw
744,amrita,aorta,NA,NA
745,apadi,wadi,aped,aped
746,podu,pod,pod,pod
747,tha,thai,thai,thai
748,ets,eats,eats,eats
749,dlc,doc,NA,NA
750,macbok,macho,NA,NA
751,sakta,saga,NA,NA
752,kyun,ken,ken,NA
753,nahin,napkin,NA,NA
754,parmesean,NA,NA,NA
755,louisiana,NA,NA,NA
756,ftw,few,fad,fad
757,unloyal,loyal,NA,NA
758,screamin,screaming,screaming,NA
759,chiln,chin,NA,NA
760,havnt,havent,havent,havent
761,nawaz,naiad,NA,NA
762,sharif,sharing,serif,sheriff
763,narendra,NA,NA,NA
764,swearingin,swearing,swearing,NA
765,monday,monday,monday,monday
766,awnser,abuser,anger,NA
767,woyld,wold,wold,wold
768,tamgo,tango,tango,NA
769,joaquim,NA,NA,NA
770,abranches,branches,NA,NA
771,soubhik,NA,NA,NA
772,kali,kalif,kale,kale
773,holaback,NA,NA,NA
774,gwen,gen,gen,NA
775,stefani,NA,NA,NA
776,fucka,funk,facia,NA
777,frfr,freer,NA,NA
778,bro,brio,brio,brio
779,alah,ah,ala,ala
780,homerun,homespun,NA,NA
781,yiyo,yoyo,yoyo,yoyo
782,sarante,savant,NA,NA
783,homenaje,homemade,NA,NA
784,gonzales,gunwales,NA,NA
785,huhuhuhuhuh,NA,NA,NA
786,polaroid,NA,NA,NA
787,tlist,list,NA,NA
788,encanta,enchant,enchant,NA
789,jesh,jest,NA,NA
790,insta,install,install,inset
791,benge,beige,binge,binge
792,eu,emu,eh,eh
793,nao,nato,no,no
794,canso,cans,cans,cans
795,dese,dense,desk,dose
796,filme,filmed,film,film
797,aruba,area,arabia,arabia
798,ofc,of,oafs,NA
799,vato,vat,vat,vat
800,nokia,podia,NA,NA
801,lumia,luminal,luna,lama
802,thwre,there,there,there
803,cruing,cruising,crying,caring
804,fuckin,firkin,NA,NA
805,buthurt,unhurt,NA,NA
806,realise,realise,realise,realise
807,whn,when,when,when
808,qtr,qatar,qatar,qatar
809,lou,loud,loo,loo
810,sushmita,NA,NA,NA
811,mae,mace,me,me
812,bernardino,NA,NA,NA
813,tay,tray,tau,tau
814,david,david,david,david
815,dimbleby,NA,NA,NA
816,fredos,freedoms,frets,frets
817,hasnt,hasnt,hasnt,hasnt
818,yunho,juno,NA,NA
819,same,same,same,same
820,here,here,here,here
821,snapchat,snapshot,snapshot,snapshot
822,awks,hawks,asks,auks
823,yea,yea,yea,yea
824,felicia,felicia,felicia,felicia
825,ismail,mail,NA,NA
826,cuneyt,cutest,NA,NA
827,oktay,okay,NA,NA
828,balgo,bald,bales,NA
829,weh,we,we,we
830,fi,fib,fee,fee
831,ito,into,it,it
832,magandang,NA,NA,NA
833,nga,aga,NA,NA
834,ba,baa,baa,baa
835,yun,yen,yen,yen
836,lng,long,long,long
837,beliebers,believers,believers,NA
838,heldl,held,NA,NA
839,cying,crying,cuing,NA
840,vibing,viking,NA,fibbing
841,india,india,india,india
842,arie,arise,are,are
843,arianator,NA,NA,NA
844,becum,becalm,became,became
845,onu,onus,on,on
846,puerto,presto,pert,pert
847,rican,african,rescan,NA
848,cabron,caldron,NA,NA
849,soml,soil,NA,NA
850,wut,wet,wet,wet
851,avi,avid,ave,ave
852,gf,gaff,gaff,gaff
853,breh,breach,brew,brew
854,ocha,ochre,ouch,ouch
855,israel,israel,israel,israel
856,jerusalem,NA,NA,NA
857,shuga,saga,saga,shag
858,shane,sane,sane,shine
859,fina,final,fin,fin
860,facetime,peacetime,faceting,NA
861,stop,stop,stop,stop
862,ls,lls,lls,lls
863,flexin,flexing,flexing,flexion
864,eh,eh,eh,eh
865,hahahahahaha,NA,NA,NA
866,nakhel,navel,NA,NA
867,aed,aced,awed,NA
868,bn,ban,ban,ban
869,tue,true,tee,tee
870,wimer,wider,NA,NA
871,palker,paler,NA,NA
872,mcfaden,NA,NA,NA
873,fos,fobs,foes,foes
874,jhaud,baud,jehad,jehad
875,huntermore,NA,NA,NA
876,slot,slot,slot,slot
877,wer,wear,wear,wear
878,pik,pick,pick,pick
879,chosing,choosing,choosing,choosing
880,dinamalar,NA,NA,NA
881,justin,justice,jousting,NA
882,swimin,swim,NA,NA
883,icymi,icy,NA,NA
884,beth,berth,bet,bath
885,we,we,we,we
886,inring,injuring,NA,NA
887,abo,abe,abe,abe
888,gainile,gaining,gainly,gainly
889,kitso,kits,kits,kits
890,akere,adhere,acre,acre
891,yesir,yessir,yessir,yessir
892,suna,sauna,sauna,sauna
893,janoskians,NA,NA,NA
894,cody,cod,cod,cod
895,cuz,cub,cog,NA
896,gey,grey,gay,NA
897,mtn,man,NA,NA
898,voir,devoir,veer,fir
899,autrement,nutriment,NA,NA
900,saturday,saturday,saturday,saturday
901,arange,arrange,arrange,arrange
902,finca,inca,finch,NA
903,thinkin,thinking,thinking,NA
904,foreal,formal,NA,NA
905,beasiswa,NA,NA,NA
906,utk,utah,NA,NA
907,holywod,NA,NA,NA
908,learnt,learnt,learnt,learnt
909,lana,ana,lama,lane
910,rey,rely,re,re
911,shawn,sawn,sawn,shown
912,mendes,menders,mends,mends
913,nomore,more,NA,NA
914,chris,christ,chars,chars
915,withrow,throw,withdraw,NA
916,hyunjin,NA,NA,NA
917,ryu,rye,rye,rye
918,mlb,mob,NA,NA
919,nigel,niger,nickel,NA
